"","06520011B0023R","06520067C0018R","06520063C0043R","06520105C0017R","06520092C0017R","06520103C0017R","06520001B0023R","06520022C0017R","06520062C0017R","06520046C0018R","06520101B0017R","06520047C0017R","06520024B0014R","06520080B0023R","06520093C0017R","06520070C0018R","06520023C0018R","06520099B0017R","06520015C0016R","06520019C0023R"
"GeneID:11185",3,66,35,10,68,123,65,10,106,23,72,4,36,0,50,479,235,35,75,47
"GeneID:10677",1668,236,95,1945,570,149,216,182,138,748,314,189,176,213,313,345,1922,269,385,687
"GeneID:101928428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:100422835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:102466731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:64881",113,11,153,22,0,20,1,5,131,586,0,119,9,62,0,482,1315,0,3047,135
"GeneID:286205",1071,1090,916,1264,395,464,347,1584,1088,1467,698,1007,836,531,723,927,924,1288,399,1123
"GeneID:8365",1296,983,1157,1053,376,1232,1341,2179,261,486,729,697,2849,1552,1990,354,548,783,1560,207
"GeneID:6804",179,204,115,279,88,191,134,172,319,2290,115,1388,209,54,58,880,1731,25,76,642
"GeneID:100423018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:23526",32,96,208,93,309,819,256,335,57,127,2596,85,193,173,4466,317,618,7507,247,594
"GeneID:102724693",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:10755",424,307,434,385,329,447,250,331,247,347,285,275,232,259,341,445,291,324,383,280
"GeneID:283150",1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1059
"GeneID:101929282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:57630",172,312,1463,1166,796,1732,902,286,385,3623,380,425,975,589,384,1178,528,321,662,1291
"GeneID:101930284",0,0,0,2,0,0,0,0,1,6,0,7,0,0,1,1,5,0,6,15
"GeneID:102724480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:9724",2343,2857,2932,3128,1724,3013,2217,2476,2220,3942,1637,2074,3910,2346,1964,2837,3583,2485,1777,3174
"GeneID:647166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneID:339010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
