"","HGNC","HGNCGeneName","GeneID","Chromosome","StartBP","EndBP","WidthBP","CanonicalTranscript","ProteinTranscript","SYMBOL","chromosome_name","LowExpressionFlag"
"GeneID:11185","INMT","indolethylamine N-methyltransferase","GeneID:11185","7",30752135,30757602,5468,"NM_006774","NP_006765","INMT","7",FALSE
"GeneID:10677","AVIL","advillin","GeneID:10677","12",57797376,57816069,18694,"NM_006576","NP_006567","AVIL","12",TRUE
"GeneID:101928428","LOC101928428","RNA-binding protein 25-like","GeneID:101928428","GL000220.1",128808,128945,138,"XM_006709932","XP_006709995","LOC101928428",NA,TRUE
"GeneID:100422835","MIR3183","microRNA 3183","GeneID:100422835","17",1022476,1022559,84,"NR_036148","","MIR3183","17",TRUE
"GeneID:102466731","MIR6769A","microRNA 6769a","GeneID:102466731","16",4671318,4671390,73,"NR_106827","","MIR6769A","16",TRUE
"GeneID:64881","PCDH20","protocadherin 20","GeneID:64881","13",61409685,61415522,5838,"NM_022843","NP_073754","PCDH20","13",TRUE
"GeneID:286205","SCAI","suppressor of cancer cell invasion","GeneID:286205","9",124942608,125143559,200952,"NM_173690","NP_775961","SCAI","9",TRUE
"GeneID:8365","HIST1H4H","histone cluster 1, H4h","GeneID:8365","6",26285126,26285499,374,"NM_003543","NP_003534","HIST1H4H","6",FALSE
"GeneID:6804","STX1A","syntaxin 1A (brain)","GeneID:6804","7",73699205,73719687,20483,"NM_004603","NP_004594","STX1A","7",FALSE
"GeneID:100423018","MIR3156-3","microRNA 3156-3","GeneID:100423018","21",13406384,13406460,77,"NR_036164","","MIR3156-3","21",FALSE
"GeneID:23526","HMHA1","histocompatibility (minor) HA-1","GeneID:23526","19",1065923,1087831,21909,"NM_001258328","NP_001245257","HMHA1","19",FALSE
"GeneID:102724693","LOC102724693","","GeneID:102724693","18",14122468,14124224,1757,"XM_006722369","XP_006722432","LOC102724693",NA,TRUE
"GeneID:10755","GIPC1","GIPC PDZ domain containing family, member 1","GeneID:10755","19",14477759,14496149,18391,"NM_202470","NP_974199","GIPC1","19",TRUE
"GeneID:283150","FOXR1","forkhead box R1","GeneID:283150","11",118971707,118981285,9579,"NM_181721","NP_859072","FOXR1","11",TRUE
"GeneID:101929282","LOC101929282","uncharacterized LOC101929282","GeneID:101929282","2",150628897,150635357,6461,"NR_110244","","LOC101929282","2",TRUE
"GeneID:57630","SH3RF1","SH3 domain containing ring finger 1","GeneID:57630","4",169094256,169271098,176843,"NM_020870","NP_065921","SH3RF1","4",TRUE
"GeneID:101930284","LOC101930284","uncharacterized LOC101930284","GeneID:101930284","9",42877619,42880789,3171,"XR_250591","","LOC101930284",NA,TRUE
"GeneID:102724480","LOC102724480","uncharacterized LOC102724480","GeneID:102724480","5",77165361,77166909,1549,"XR_427733","","LOC102724480",NA,TRUE
"GeneID:9724","UTP14C","UTP14, U3 small nucleolar ribonucleoprotein, homolog C (yeast)","GeneID:9724","13",52024691,52033600,8910,"NM_021645","NP_067677","UTP14C","13",FALSE
"GeneID:647166","LINC00371","long intergenic non-protein coding RNA 371","GeneID:647166","13",51084015,51113228,29214,"NR_102431","","LINC00371","13",FALSE
"GeneID:339010","","","GeneID:339010","KI270727.1",146801,167240,20440,"XM_006725172","XP_006725235","",NA,FALSE
"GeneID:4595","MUTYH","mutY homolog","GeneID:4595","1",45329242,45340115,10874,"NM_001048172","NP_001041637","MUTYH","1",TRUE
"GeneID:11019","LIAS","lipoic acid synthetase","GeneID:11019","4",39459024,39477653,18630,"NM_006859","NP_006850","LIAS","4",TRUE
"GeneID:407020","MIR28","microRNA 28","GeneID:407020","3",188688781,188688866,86,"NR_029502","","MIR28","3",TRUE
"GeneID:116154","PHACTR3","phosphatase and actin regulator 3","GeneID:116154","20",59604547,59847711,243165,"NM_080672","NP_542403","PHACTR3","20",TRUE
"GeneID:27336","HTATSF1","HIV-1 Tat specific factor 1","GeneID:27336","X",136497512,136512346,14835,"NM_014500","NP_055315","HTATSF1","X",TRUE
"GeneID:51455","REV1","REV1, polymerase (DNA directed)","GeneID:51455","2",99400475,99490018,89544,"NM_016316","NP_057400","REV1","2",TRUE
"GeneID:26225","ARL5A","ADP-ribosylation factor-like 5A","GeneID:26225","2",151800966,151828495,27530,"NM_012097","NP_036229","ARL5A","2",TRUE
"GeneID:102723987","LOC102723987","uncharacterized LOC102723987","GeneID:102723987","16",75138280,75139663,1384,"XR_429773","","LOC102723987",NA,TRUE
"GeneID:5828","PEX2","peroxisomal biogenesis factor 2","GeneID:5828","8",76980258,77001044,20787,"NM_001172087","NP_001165558","PEX2","8",FALSE
"GeneID:100533181","FXYD6-FXYD2","FXYD6-FXYD2 readthrough","GeneID:100533181","11",117820075,117877031,56957,"NM_001204268","NP_001191197","FXYD6-FXYD2","11",FALSE
"GeneID:10940","POP1","processing of precursor 1, ribonuclease P/MRP subunit (S. cerevisiae)","GeneID:10940","8",98117293,98159841,42549,"NM_001145861","NP_001139333","POP1","8",FALSE
"GeneID:55290","BRF2","BRF2, RNA polymerase III transcription initiation factor 50 kDa subunit","GeneID:55290","8",37843880,37849913,6034,"NM_018310","NP_060780","BRF2","8",FALSE
"GeneID:2790","GNG10","guanine nucleotide binding protein (G protein), gamma 10","GeneID:2790","9",111661571,111670246,8676,"NM_001017998","NP_001017998","GNG10","9",TRUE
"GeneID:101928197","LOC101928197","uncharacterized LOC101928197","GeneID:101928197","10",7808361,7818378,10018,"XR_242719","","LOC101928197",NA,FALSE
"GeneID:277","AMY1B","amylase, alpha 1B (salivary)","GeneID:277","1",103687417,103700771,13355,"XM_005270758","XP_005270815","AMY1B","1",FALSE
"GeneID:26818","SNORD33","small nucleolar RNA, C/D box 33","GeneID:26818","19",49490617,49490699,83,"NR_000020","","SNORD33","19",FALSE
"GeneID:574033","MIR18B","microRNA 18b","GeneID:574033","X",134170041,134170111,71,"NR_029949","","MIR18B","X",FALSE
"GeneID:101929014","LOC101929014","uncharacterized LOC101929014","GeneID:101929014","9",125410507,125412467,1961,"XR_242676","","LOC101929014","9",TRUE
"GeneID:7200","TRH","thyrotropin-releasing hormone","GeneID:7200","3",129974393,129977938,3546,"NM_007117","NP_009048","TRH","3",TRUE
"GeneID:7386","UQCRFS1","ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1","GeneID:7386","19",29207260,29213229,5970,"NM_006003","NP_005994","UQCRFS1","19",FALSE
"GeneID:100422893","MIR3154","microRNA 3154","GeneID:100422893","9",128244947,128245030,84,"NR_036110","","MIR3154","9",FALSE
"GeneID:11189","CELF3","CUGBP, Elav-like family member 3","GeneID:11189","1",151692415,151716820,24406,"NM_007185","NP_009116","CELF3","1",TRUE
"GeneID:100130331","LOC100130331","POTE ankyrin domain family, member F pseudogene","GeneID:100130331","1",237862175,237928321,66147,"NR_027247","","LOC100130331","1",TRUE
"GeneID:102723828","LOC102723828","uncharacterized LOC102723828","GeneID:102723828","4",31997379,32155406,158028,"XR_427507","","LOC102723828","4",FALSE
"GeneID:54936","ADPRHL2","ADP-ribosylhydrolase like 2","GeneID:54936","1",36088852,36093932,5081,"NM_017825","NP_060295","ADPRHL2","1",FALSE
"GeneID:1088","CEACAM8","carcinoembryonic antigen-related cell adhesion molecule 8","GeneID:1088","19",42577670,42594930,17261,"NM_001816","NP_001807","CEACAM8","19",FALSE
"GeneID:283234","CCDC88B","coiled-coil domain containing 88B","GeneID:283234","11",64340218,64357534,17317,"NM_032251","NP_115627","CCDC88B","11",FALSE
"GeneID:100505495","PCAT19","prostate cancer associated transcript 19 (non-protein coding)","GeneID:100505495","19",41454169,41500644,46476,"NR_040109","","PCAT19","19",TRUE
"GeneID:345462","ZNF879","zinc finger protein 879","GeneID:345462","5",179023775,179034387,10613,"NM_001136116","NP_001129588","ZNF879","5",FALSE
"GeneID:101927039","LOC101927039","uncharacterized LOC101927039","GeneID:101927039","8",96235659,96237945,2287,"XR_242407","","LOC101927039","8",FALSE
"GeneID:79908","BTNL8","butyrophilin-like 8","GeneID:79908","5",180899077,180950906,51830,"NM_001040462","NP_001035552","BTNL8","5",TRUE
"GeneID:100130673","LOC100130673","phosphoribosyl pyrophosphate synthetase 2 pseudogene","GeneID:100130673","7",32456897,32458494,1598,"NR_038454","","LOC100130673","7",FALSE
"GeneID:6277","S100A6","S100 calcium binding protein A6","GeneID:6277","1",153534600,153536241,1642,"NM_014624","NP_055439","S100A6","1",FALSE
"GeneID:100846993","MIR5009","microRNA 5009","GeneID:100846993","15",89883931,89884030,100,"NR_049807","","MIR5009","15",FALSE
"GeneID:284836","LINC00319","long intergenic non-protein coding RNA 319","GeneID:284836","21",43450024,43453893,3870,"NR_026960","","LINC00319","21",FALSE
"GeneID:151827","LRRC34","leucine rich repeat containing 34","GeneID:151827","3",169793428,169812786,19359,"NM_001172779","NP_001166250","LRRC34","3",FALSE
"GeneID:100507616","LOC100507616","uncharacterized LOC100507616","GeneID:100507616","12",92466679,92483947,17269,"XR_110328","","LOC100507616","12",FALSE
"GeneID:112812","FDX1L","ferredoxin 1-like","GeneID:112812","19",10310215,10316015,5801,"NM_001031734","NP_001026904","FDX1L","19",TRUE
"GeneID:51098","IFT52","intraflagellar transport 52","GeneID:51098","20",43590939,43647222,56284,"NM_016004","NP_057088","IFT52","20",TRUE
"GeneID:84278","HIATL2","hippocampus abundant transcript-like 2","GeneID:84278","9",96946045,97013580,67536,"NR_002894","","HIATL2","9",TRUE
"GeneID:256643","CXorf23","chromosome X open reading frame 23","GeneID:256643","X",19912860,19970264,57405,"NM_198279","NP_938020","CXorf23","X",FALSE
"GeneID:101927809","LOC101927809","uncharacterized LOC101927809","GeneID:101927809","18",36180001,36187437,7437,"XR_243869","","LOC101927809","18",TRUE
"GeneID:3149","HMGB3","high mobility group box 3","GeneID:3149","X",150983290,150990775,7486,"NM_005342","NP_005333","HMGB3","X",TRUE
"GeneID:101929908","LOC101929908","uncharacterized LOC101929908","GeneID:101929908","2",117860333,117935062,74730,"XR_251161","","LOC101929908","2",TRUE
"GeneID:80201","HKDC1","hexokinase domain containing 1","GeneID:80201","10",69220303,69267559,47257,"NM_025130","NP_079406","HKDC1","10",TRUE
"GeneID:1553","CYP2A13","cytochrome P450, family 2, subfamily A, polypeptide 13","GeneID:1553","19",41088451,41096195,7745,"NM_000766","NP_000757","CYP2A13","19",TRUE
"GeneID:10966","RAB40B","RAB40B, member RAS oncogene family","GeneID:10966","17",82657067,82698722,41656,"NM_006822","NP_006813","RAB40B","17",TRUE
"GeneID:101928449","LOC101928449","uncharacterized LOC101928449","GeneID:101928449","12",81953719,81993133,39415,"NR_110089","","LOC101928449","12",TRUE
"GeneID:80024","SLC8B1","solute carrier family 8 (sodium/lithium/calcium exchanger), member B1","GeneID:80024","12",113298766,113335120,36355,"NM_024959","NP_079235","SLC8B1","12",TRUE
"GeneID:101928694","LOC101928694","uncharacterized LOC101928694","GeneID:101928694","15",58434901,58498735,63835,"XR_243158","","LOC101928694","15",TRUE
"GeneID:80305","TRABD","TraB domain containing","GeneID:80305","22",50185931,50199598,13668,"NM_025204","NP_079480","TRABD","22",TRUE
"GeneID:101927496","LOC101927496","uncharacterized LOC101927496","GeneID:101927496","18",21240920,21241509,590,"XR_243856","","LOC101927496","18",TRUE
"GeneID:101927407","LOC101927407","uncharacterized LOC101927407","GeneID:101927407","2",242165316,242167481,2166,"XR_427244","","LOC101927407",NA,FALSE
"GeneID:100996349","LOC100996349","testis expressed 264 pseudogene","GeneID:100996349","19",22608016,22608501,486,"NR_103470","","LOC100996349","19",FALSE
"GeneID:283624","LINC00641","long intergenic non-protein coding RNA 641","GeneID:283624","14",21200079,21205503,5425,"NR_038970","","LINC00641","14",TRUE
"GeneID:1057","CELP","carboxyl ester lipase pseudogene","GeneID:1057","9",133082539,133087091,4553,"NR_001275","","CELP","9",TRUE
"GeneID:100287205","USP17L12","ubiquitin specific peptidase 17-like family member 12","GeneID:100287205","4",9220152,9221744,1593,"NM_001256853","NP_001243782","USP17L12","4",FALSE
"GeneID:10919","EHMT2","","GeneID:10919","6",31879759,31897206,17448,"NM_001289413","NP_001276342","EHMT2","6",TRUE
"GeneID:5686","PSMA5","proteasome (prosome, macropain) subunit, alpha type, 5","GeneID:5686","1",109399031,109426448,27418,"NM_002790","NP_002781","PSMA5","1",FALSE
"GeneID:100302242","MIR1236","","GeneID:100302242","6",31956839,31956940,102,"NR_031601","","MIR1236","6",TRUE
"GeneID:3454","IFNAR1","interferon (alpha, beta and omega) receptor 1","GeneID:3454","21",33324909,33359823,34915,"NM_000629","NP_000620","IFNAR1","21",TRUE
"GeneID:102725213","LOC102725213","uncharacterized LOC102725213","GeneID:102725213","5",177707895,177722167,14273,"XR_431947","","LOC102725213",NA,TRUE
"GeneID:101930449","LOC101930449","uncharacterized LOC101930449","GeneID:101930449","4",188777679,188796742,19064,"XR_249719","","LOC101930449",NA,FALSE
"GeneID:101927483","LOC101927483","uncharacterized LOC101927483","GeneID:101927483","14",48204891,48208267,3377,"XR_429360","","LOC101927483","14",TRUE
"GeneID:114770","PGLYRP2","peptidoglycan recognition protein 2","GeneID:114770","19",15468645,15479504,10860,"NM_052890","NP_443122","PGLYRP2","19",FALSE
"GeneID:101928266","LOC101928266","uncharacterized LOC101928266","GeneID:101928266","17",9171068,9179118,8051,"XR_243588","","LOC101928266","17",FALSE
"GeneID:101927348","LOC101927348","uncharacterized LOC101927348","GeneID:101927348","16",14018880,14021077,2198,"NR_110915","","LOC101927348","16",TRUE
"GeneID:222894","FERD3L","Fer3-like bHLH transcription factor","GeneID:222894","7",19144782,19145421,640,"NM_152898","NP_690862","FERD3L","7",FALSE
